depth,Stmax,Stavg,EndP,MaxP,MaxV,RanV,RtUp,RtDn,TINDVI,Easting_32632,Northing_32632,elev,asp,slo,tri,Al05Fe
0.050000,160.400000,111.500000,19.000000,13.000000,0.939067,0.310565,0.045573,0.051761,2.207966,473847.432311,5099720.131755,837.000000,358.298645,63.152840,9.750000,0.388676
0.150000,160.400000,111.500000,19.000000,13.000000,0.939067,0.310565,0.045573,0.051761,2.207966,473847.432311,5099720.131755,837.000000,358.298645,63.152840,9.750000,0.361532
0.300000,160.400000,111.500000,19.000000,13.000000,0.939067,0.310565,0.045573,0.051761,2.207966,473847.432311,5099720.131755,837.000000,358.298645,63.152840,9.750000,0.414268
0.440000,160.400000,111.500000,19.000000,13.000000,0.939067,0.310565,0.045573,0.051761,2.207966,473847.432311,5099720.131755,837.000000,358.298645,63.152840,9.750000,0.449626
0.050000,130.200000,87.600000,19.000000,13.000000,0.956964,0.377668,0.062945,0.057197,2.725351,506940.964894,5099761.088109,1161.000000,356.112091,64.523491,10.125000,0.324691
0.150000,130.200000,87.600000,19.000000,13.000000,0.956964,0.377668,0.062945,0.057197,2.725351,506940.964894,5099761.088109,1161.000000,356.112091,64.523491,10.125000,0.232458
0.300000,130.200000,87.600000,19.000000,13.000000,0.956964,0.377668,0.062945,0.057197,2.725351,506940.964894,5099761.088109,1161.000000,356.112091,64.523491,10.125000,0.266472
0.425000,130.200000,87.600000,19.000000,13.000000,0.956964,0.377668,0.062945,0.057197,2.725351,506940.964894,5099761.088109,1161.000000,356.112091,64.523491,10.125000,0.049982
0.050000,122.100000,78.400000,20.000000,13.000000,0.769856,0.466090,0.072706,0.066584,3.673611,536466.363750,5099957.769519,1437.000000,359.443756,64.378036,9.625000,1.131783
0.140000,122.100000,78.400000,20.000000,13.000000,0.769856,0.466090,0.072706,0.066584,3.673611,536466.363750,5099957.769519,1437.000000,359.443756,64.378036,9.625000,1.680442
0.290000,122.100000,78.400000,20.000000,13.000000,0.769856,0.466090,0.072706,0.066584,3.673611,536466.363750,5099957.769519,1437.000000,359.443756,64.378036,9.625000,1.540631
0.050000,102.300000,60.500000,21.000000,15.000000,0.822616,0.321096,0.053516,0.050159,2.351803,554906.413388,5099785.963077,1599.000000,174.737610,95.402107,14.125000,0.447333
0.150000,102.300000,60.500000,21.000000,15.000000,0.822616,0.321096,0.053516,0.050159,2.351803,554906.413388,5099785.963077,1599.000000,174.737610,95.402107,14.125000,0.593297
0.300000,102.300000,60.500000,21.000000,15.000000,0.822616,0.321096,0.053516,0.050159,2.351803,554906.413388,5099785.963077,1599.000000,174.737610,95.402107,14.125000,0.637126
0.425000,102.300000,60.500000,21.000000,15.000000,0.822616,0.321096,0.053516,0.050159,2.351803,554906.413388,5099785.963077,1599.000000,174.737610,95.402107,14.125000,0.739184
0.050000,199.500000,139.600000,20.000000,14.000000,0.836322,0.263459,0.037637,0.043765,2.151088,665910.208372,5099800.428020,368.000000,195.945404,9.100138,1.750000,0.152932
0.150000,199.500000,139.600000,20.000000,14.000000,0.836322,0.263459,0.037637,0.043765,2.151088,665910.208372,5099800.428020,368.000000,195.945404,9.100138,1.750000,0.142610
0.300000,199.500000,139.600000,20.000000,14.000000,0.836322,0.263459,0.037637,0.043765,2.151088,665910.208372,5099800.428020,368.000000,195.945404,9.100138,1.750000,0.135939
0.600000,199.500000,139.600000,20.000000,14.000000,0.836322,0.263459,0.037637,0.043765,2.151088,665910.208372,5099800.428020,368.000000,195.945404,9.100138,1.750000,0.126062
0.050000,141.600000,88.700000,20.000000,14.000000,0.903560,0.268059,0.041216,0.044676,1.948416,680905.704134,5099790.287375,1000.000000,189.400787,95.659714,14.125000,0.493692
0.150000,141.600000,88.700000,20.000000,14.000000,0.903560,0.268059,0.041216,0.044676,1.948416,680905.704134,5099790.287375,1000.000000,189.400787,95.659714,14.125000,0.571133
0.240000,141.600000,88.700000,20.000000,14.000000,0.903560,0.268059,0.041216,0.044676,1.948416,680905.704134,5099790.287375,1000.000000,189.400787,95.659714,14.125000,0.374368
0.050000,164.900000,107.600000,19.000000,13.000000,0.887971,0.276665,0.044191,0.046111,2.048440,713274.237771,5099775.800451,933.000000,341.565063,39.528469,6.625000,0.285330
0.150000,164.900000,107.600000,19.000000,13.000000,0.887971,0.276665,0.044191,0.046111,2.048440,713274.237771,5099775.800451,933.000000,341.565063,39.528469,6.625000,0.466639
0.050000,182.200000,122.600000,20.000000,14.000000,0.887168,0.281350,0.043184,0.046892,2.043313,732176.488039,5099810.419569,610.000000,277.305756,49.149010,8.125000,0.285783
0.150000,182.200000,122.600000,20.000000,14.000000,0.887168,0.281350,0.043184,0.046892,2.043313,732176.488039,5099810.419569,610.000000,277.305756,49.149010,8.125000,0.317970
0.235000,182.200000,122.600000,20.000000,14.000000,0.887168,0.281350,0.043184,0.046892,2.043313,732176.488039,5099810.419569,610.000000,277.305756,49.149010,8.125000,0.386815
0.050000,140.600000,85.500000,20.000000,14.000000,0.881756,0.288730,0.044648,0.048122,2.104434,761396.178055,5102063.451494,1090.000000,216.469238,17.875437,3.000000,0.609343
0.150000,140.600000,85.500000,20.000000,14.000000,0.881756,0.288730,0.044648,0.048122,2.104434,761396.178055,5102063.451494,1090.000000,216.469238,17.875437,3.000000,0.634975
0.235000,140.600000,85.500000,20.000000,14.000000,0.881756,0.288730,0.044648,0.048122,2.104434,761396.178055,5102063.451494,1090.000000,216.469238,17.875437,3.000000,0.588522
0.050000,151.400000,103.000000,20.000000,14.000000,0.767420,0.281914,0.044491,0.046986,2.075087,458853.985760,5084586.006137,820.000000,252.824097,35.979595,6.000000,0.834908
0.150000,151.400000,103.000000,20.000000,14.000000,0.767420,0.281914,0.044491,0.046986,2.075087,458853.985760,5084586.006137,820.000000,252.824097,35.979595,6.000000,0.819977
0.300000,151.400000,103.000000,20.000000,14.000000,0.767420,0.281914,0.044491,0.046986,2.075087,458853.985760,5084586.006137,820.000000,252.824097,35.979595,6.000000,0.652525
0.480000,151.400000,103.000000,20.000000,14.000000,0.767420,0.281914,0.044491,0.046986,2.075087,458853.985760,5084586.006137,820.000000,252.824097,35.979595,6.000000,0.473984
0.050000,158.800000,109.700000,20.000000,14.000000,0.917207,0.309021,0.044146,0.050629,2.503406,473934.840542,5084781.847036,800.000000,147.994614,47.169907,8.125000,0.144178
0.150000,158.800000,109.700000,20.000000,14.000000,0.917207,0.309021,0.044146,0.050629,2.503406,473934.840542,5084781.847036,800.000000,147.994614,47.169907,8.125000,0.161277
0.300000,158.800000,109.700000,20.000000,14.000000,0.917207,0.309021,0.044146,0.050629,2.503406,473934.840542,5084781.847036,800.000000,147.994614,47.169907,8.125000,0.166896
0.500000,158.800000,109.700000,20.000000,14.000000,0.917207,0.309021,0.044146,0.050629,2.503406,473934.840542,5084781.847036,800.000000,147.994614,47.169907,8.125000,0.086935
0.050000,145.100000,99.900000,20.000000,14.000000,0.910381,0.290654,0.047772,0.048442,2.182559,488884.774571,5084829.504174,850.000000,121.239212,89.180298,15.875000,0.540464
0.150000,145.100000,99.900000,20.000000,14.000000,0.910381,0.290654,0.047772,0.048442,2.182559,488884.774571,5084829.504174,850.000000,121.239212,89.180298,15.875000,0.736664
0.300000,145.100000,99.900000,20.000000,14.000000,0.910381,0.290654,0.047772,0.048442,2.182559,488884.774571,5084829.504174,850.000000,121.239212,89.180298,15.875000,0.722266
0.600000,145.100000,99.900000,20.000000,14.000000,0.910381,0.290654,0.047772,0.048442,2.182559,488884.774571,5084829.504174,850.000000,121.239212,89.180298,15.875000,0.325371
0.050000,131.800000,89.500000,20.000000,14.000000,0.942924,0.354876,0.050697,0.057670,2.861681,507000.973959,5084730.891468,957.000000,46.301952,38.900917,7.500000,0.203335
0.150000,131.800000,89.500000,20.000000,14.000000,0.942924,0.354876,0.050697,0.057670,2.861681,507000.973959,5084730.891468,957.000000,46.301952,38.900917,7.500000,0.226012
